role,id,note,no2_absz,so2_absz,co_absz,aod_absz,max_absz
industrial,norilsk,Nornickel smelter (SO2),1.94,,0.1,0.17,1.94
industrial,highveld_za,"Mpumalanga coal power, world-high NO2",0.25,0.21,0.22,0.0,0.25
industrial,jamshedpur,Tata steel works,1.56,0.82,0.53,0.13,1.56
industrial,korba,Coal power + aluminium,1.4,1.44,0.16,0.12,1.44
industrial,jubail_sa,Jubail petrochem/refining,1.42,0.12,0.16,0.1,1.42
industrial,la_oroya_pe,Polymetallic smelter (SO2),0.58,0.07,0.29,0.31,0.58
industrial,chuquicamata,Copper mine + smelter (SO2),0.36,0.05,0.13,0.24,0.36
industrial,linfen_cn,Coal/coke basin,2.61,0.88,0.9,0.51,2.61
industrial,ahvaz_ir,"Oil + steel, heavily polluted",2.5033905658269555,0.38643663007481394,0.11059481690113952,0.12184598146284308,2.5033905658269555
industrial,secunda_za,Sasol coal-to-liquids (NO2/SO2),0.374528141435568,0.1548603435433335,0.01759136103768269,0.15175318521160583,0.374528141435568
control,patagonia,,0.03960372510534061,0.32777285064122574,0.24164197797310225,0.18014933766203678,0.32777285064122574
control,amazon_wet,,0.0012054271426219885,0.08475253688191656,0.14550855713199665,0.26034703774457096,0.26034703774457096
control,nz_south,,0.07645713725034767,0.16560903486406453,0.16285939808199212,0.11546023372452936,0.16560903486406453
control,appalachia,,0.31192086413951536,0.029895460839163192,0.19561502291213323,0.07782778023916573,0.31192086413951536
control,puerto_rico,,0.04779081757863079,0.0690147377613843,0.768343471207968,0.1021719361204163,0.768343471207968
