concern,high,capture,control_fp,meets
0.5,1.5,0.7,0.2,False
0.5,1.75,0.7,0.2,False
0.5,2.0,0.7,0.2,False
0.5,2.25,0.7,0.2,False
0.5,2.5,0.7,0.2,False
0.5,3.0,0.7,0.2,False
0.75,1.5,0.6,0.2,False
0.75,1.75,0.6,0.2,False
0.75,2.0,0.6,0.2,False
0.75,2.25,0.6,0.2,False
0.75,2.5,0.6,0.2,False
0.75,3.0,0.6,0.2,False
1.0,1.5,0.6,0.0,False
1.0,1.75,0.6,0.0,False
1.0,2.0,0.6,0.0,False
1.0,2.25,0.6,0.0,False
1.0,2.5,0.6,0.0,False
1.0,3.0,0.6,0.0,False
1.25,1.5,0.6,0.0,False
1.25,1.75,0.6,0.0,False
1.25,2.0,0.6,0.0,False
1.25,2.25,0.6,0.0,False
1.25,2.5,0.6,0.0,False
1.25,3.0,0.6,0.0,False
1.5,1.75,0.4,0.0,False
1.5,2.0,0.4,0.0,False
1.5,2.25,0.4,0.0,False
1.5,2.5,0.4,0.0,False
1.5,3.0,0.4,0.0,False
