role,indicator,id,kind,window,abs_z,hf,error
event,aai,quebec_2023,fire,2023-05-27/2023-06-14,0.17750692046002578,0.16666666666666666,
event,aai,bayarea_2020,fire,2020-09-04/2020-09-22,0.24814091593586435,0.2222222222222222,
event,aai,nsw_2019,fire,2019-12-25/2020-01-10,0.17928584658729663,0.0625,
event,aai,dixie_2021,fire,2021-07-31/2021-08-21,0.2535343959296047,0.047619047619047616,
event,aai,greece_2023,fire,2023-08-16/2023-09-03,0.21223049058801738,0.2222222222222222,
event,aai,godzilla_2020,dust,2020-06-17/2020-07-01,0.17501734358600576,0.07142857142857142,
event,aai,beijing_2021,dust,2021-03-10/2021-03-22,0.029825953310455275,0.16666666666666666,
event,aai,baghdad_2022,dust,2022-05-10/2022-05-24,0.020543991794230873,0.07142857142857142,
event,aai,phoenix_2021,dust,2021-07-04/2021-07-16,0.2798536314294985,0.0,
event,aai,dakar_2021,dust,2021-03-08/2021-03-23,0.534094828144851,0.0,
event,aod,chico_ca,biomass,2020-09-08/2020-09-20,0.18820817296532716,0.2727272727272727,
event,aod,chiang_mai,biomass,2024-03-10/2024-03-25,0.06815659416866791,0.36363636363636365,
control,aai,patagonia,clean,2021-06-01/2021-06-30,0.07953540635139501,0.10344827586206896,
control,aod,patagonia,clean,2021-06-01/2021-06-30,0.3671419992572484,0.1,
control,no2,patagonia,clean,2021-06-01/2021-06-30,0.11282848472795913,0.0,
control,so2,patagonia,clean,2021-06-01/2021-06-30,,,SiteBufferNoDataError: SO2_column_number_density: site buffer has no vali
control,co,patagonia,clean,2021-06-01/2021-06-30,0.5638033892454503,0.125,
control,hcho,patagonia,clean,2021-06-01/2021-06-30,,,SiteBufferNoDataError: tropospheric_HCHO_column_number_density: site buff
control,o3,patagonia,clean,2021-06-01/2021-06-30,0.029136258037291734,0.10344827586206896,
control,aai,amazon_wet,clean,2021-03-01/2021-03-31,0.15757258287525813,0.0,
control,aod,amazon_wet,clean,2021-03-01/2021-03-31,1.355029490020651,0.6,
control,no2,amazon_wet,clean,2021-03-01/2021-03-31,0.016001807492241435,0.0,
control,so2,amazon_wet,clean,2021-03-01/2021-03-31,0.19416033330366067,0.07692307692307693,
control,co,amazon_wet,clean,2021-03-01/2021-03-31,0.5518606990194888,0.0,
control,hcho,amazon_wet,clean,2021-03-01/2021-03-31,0.09904540883448366,0.0,
control,o3,amazon_wet,clean,2021-03-01/2021-03-31,0.021104314833082737,0.0,
control,aai,nz_south,clean,2021-06-01/2021-06-30,0.2125320698258679,0.06896551724137931,
control,aod,nz_south,clean,2021-06-01/2021-06-30,0.059500667033780937,0.13333333333333333,
control,no2,nz_south,clean,2021-06-01/2021-06-30,0.09241168502871633,0.03571428571428571,
control,so2,nz_south,clean,2021-06-01/2021-06-30,,,SiteBufferNoDataError: SO2_column_number_density: site buffer has no vali
control,co,nz_south,clean,2021-06-01/2021-06-30,0.22428709790035506,0.0,
control,hcho,nz_south,clean,2021-06-01/2021-06-30,0.05913513870747763,0.2857142857142857,
control,o3,nz_south,clean,2021-06-01/2021-06-30,0.038278955632351425,0.13793103448275862,
control,aai,appalachia,clean,2021-04-01/2021-04-30,0.021809906202181366,0.06896551724137931,
control,aod,appalachia,clean,2021-04-01/2021-04-30,0.1522514285184629,0.3684210526315789,
control,no2,appalachia,clean,2021-04-01/2021-04-30,0.12128165380281329,0.06896551724137931,
control,so2,appalachia,clean,2021-04-01/2021-04-30,0.11372551214510392,0.0,
control,co,appalachia,clean,2021-04-01/2021-04-30,0.14974191879625734,0.045454545454545456,
control,hcho,appalachia,clean,2021-04-01/2021-04-30,0.014280234100774053,0.043478260869565216,
control,o3,appalachia,clean,2021-04-01/2021-04-30,0.004130856822169294,0.0,
control,aai,puerto_rico,clean,2020-05-15/2020-06-14,0.0017476045010126986,0.0,
control,aod,puerto_rico,clean,2020-05-15/2020-06-14,0.23915344275050757,0.0,
control,no2,puerto_rico,clean,2020-05-15/2020-06-14,0.07797876252596907,0.06896551724137931,
control,so2,puerto_rico,clean,2020-05-15/2020-06-14,0.1966683417786498,0.0625,
control,co,puerto_rico,clean,2020-05-15/2020-06-14,0.17753034612911028,0.0,
control,hcho,puerto_rico,clean,2020-05-15/2020-06-14,0.09030687785501142,0.047619047619047616,
control,o3,puerto_rico,clean,2020-05-15/2020-06-14,0.06849147803274713,0.03333333333333333,
