name,tier,n_ts,persist@0.02,score@0.02,persist@0.05,score@0.05,persist@0.1,score@0.1,persist@0.15,score@0.15,persist@0.2,score@0.2,persist@0.3,score@0.3
Norilsk,heavy,4624,1.0,0.9290038690609094,1.0,0.9290038690609094,1.0,0.9290038690609094,1.0,0.9290038690609094,1.0,0.9290038690609094,1.0,0.9290038690609094
Korba,heavy,5141,1.0,0.7928343087354055,1.0,0.7928343087354055,1.0,0.7928343087354055,1.0,0.7928343087354055,1.0,0.7928343087354055,1.0,0.7928343087354055
Jamshedpur,heavy,5141,1.0,0.921724302286496,1.0,0.921724302286496,1.0,0.921724302286496,1.0,0.921724302286496,1.0,0.921724302286496,1.0,0.921724302286496
Yanbu,heavy,5148,1.0,0.7815731805096549,1.0,0.7815731805096549,1.0,0.7815731805096549,0.9996114996114996,0.7815948049195425,0.9996114996114996,0.7815948049195425,0.9976689976689976,0.7816410512403222
Ploiesti,middle,5159,1.0,0.7798201353996,1.0,0.7798201353996,1.0,0.7798201353996,1.0,0.7798201353996,1.0,0.7798201353996,1.0,0.7798201353996
Pavlodar,middle,5155,1.0,0.957879092620272,1.0,0.957879092620272,1.0,0.957879092620272,1.0,0.957879092620272,1.0,0.957879092620272,1.0,0.957879092620272
Vadodara,middle,5137,1.0,0.8601398328134577,1.0,0.8601398328134577,1.0,0.8601398328134577,1.0,0.8601398328134577,1.0,0.8601398328134577,1.0,0.8601398328134577
Rondonopolis,middle,5143,1.0,0.9667233606074401,1.0,0.9667233606074401,1.0,0.9667233606074401,1.0,0.9667233606074401,1.0,0.9667233606074401,0.9992222438265603,0.9667373169033331
Patagonia,quiet,5155,0.2799224054316198,0.12954977862285105,0.2273520853540252,0.1328706102330376,0.16023278370514063,0.13552694431339365,0.10572259941804074,0.13528444997937425,0.07390882638215325,0.14172589137063382,0.03452958292919495,0.15547734239887215
NZ_South,quiet,5159,0.18084900174452415,0.08987808239004362,0.13238999806163984,0.09724739378076282,0.08315565031982942,0.11460066483123495,0.0564062802868773,0.12337955238706787,0.03837953091684435,0.12455115327937427,0.018995929443690638,0.13888916267925397
Appalachia,quiet,5139,1.0,0.7313682763095095,1.0,0.7313682763095095,1.0,0.7313682763095095,1.0,0.7313682763095095,1.0,0.7313682763095095,1.0,0.7313682763095095
Amazon_wet,quiet,5138,0.04437524328532503,0.16924913853540363,0.03678474114441417,0.16565978837238413,0.02997275204359673,0.16182105549728873,0.02646944336317633,0.1599130677276373,0.022966134682755938,0.15812219351249357,0.020046710782405604,0.15677379334820218
