id,grp,kind,clim_window,clim_mean,clim_std,peak_site_aai,z_clim,fires
quebec_2023,event,fire,2023-02-16/2023-05-17,-0.5247653719347557,0.3454927117449358,1.1908359724468185,4.965665804400928,True
bayarea_2020,event,fire,2020-05-27/2020-08-25,-1.0480756930550876,0.543500976079377,8.03833039214092,16.718288439410202,True
nsw_2019,event,fire,2019-09-16/2019-12-15,-0.7443349991516123,1.6027689187161271,4.428706858150284,3.227565619032393,True
dixie_2021,event,fire,2021-04-22/2021-07-21,-1.3224004893189563,1.053745506069352,6.9500254372214645,7.8504969927681705,True
greece_2023,event,fire,2023-05-08/2023-08-06,-0.47047573611501736,0.5760798244306096,2.2173327871475865,4.6656876517402806,True
godzilla_2020,event,dust,2020-03-09/2020-06-07,-1.1809467468414203,0.5791990650028465,0.6108843941788505,3.093636107667862,True
beijing_2021,event,dust,2020-11-30/2021-02-28,-1.0513982253309233,0.4524992101363514,0.0216719900354496,2.37143002977403,True
baghdad_2022,event,dust,2022-01-30/2022-04-30,0.7258431482101491,0.8716254219636139,2.867949690658528,2.457599891502248,True
phoenix_2021,event,dust,2021-03-26/2021-06-24,-0.5426353402858362,0.49012146066912804,0.9217996267848466,2.987902151991863,True
dakar_2021,event,dust,2020-11-28/2021-02-26,-1.2156289756719332,0.5977423620164282,-0.0737495459348102,1.9103204027318714,False
quebec_2023_ctrl,control,control,2023-01-21/2023-04-21,-0.5418997650615308,0.3737072825207711,0.5421046151999759,2.9006776987313763,True
bayarea_2020_ctrl,control,control,2020-04-06/2020-07-05,-1.0036459346276967,0.4375697874194967,1.3109984840605755,5.289772020912472,True
godzilla_2020_ctrl,control,control,2020-02-05/2020-05-05,-1.160350699644665,0.6885716269067248,-0.4017870251009384,1.101648172683832,False
beijing_2021_ctrl,control,control,2020-10-24/2021-01-22,-1.0724998810242625,0.49573273510105664,0.3650075784543369,2.8997630329688824,True
phoenix_2021_ctrl,control,control,2021-02-21/2021-05-22,-0.6732171286567332,0.4914119011663859,1.1011017628050783,3.6106551087802194,True
