p_floor,name,tier,persistence,persistence_factor,score
0.6,Norilsk,heavy,1.0,1.0,0.9290038690609094
0.6,Korba,heavy,1.0,1.0,0.7928343087354055
0.6,Jamshedpur,heavy,1.0,1.0,0.921724302286496
0.6,Yanbu,heavy,1.0,1.0,0.7815731805096549
0.6,Ploiesti,middle,1.0,1.0,0.7798201353996
0.6,Pavlodar,middle,1.0,1.0,0.957879092620272
0.6,Vadodara,middle,1.0,1.0,0.8601398328134577
0.6,Rondonopolis,middle,1.0,1.0,0.9667233606074401
0.6,Patagonia,quiet,0.2799224054316198,0.6265761396702231,0.12954977862285105
0.6,NZ_South,quiet,0.18084900174452415,0.5109905020352782,0.08987808239004362
0.6,Appalachia,quiet,1.0,1.0,0.7313682763095095
0.6,Amazon_wet,quiet,0.04437524328532503,0.3517711171662125,0.16924913853540363
0.66,Norilsk,heavy,1.0,1.0,0.9290038690609094
0.66,Korba,heavy,1.0,1.0,0.7928343087354055
0.66,Jamshedpur,heavy,1.0,1.0,0.921724302286496
0.66,Yanbu,heavy,1.0,1.0,0.7815731805096549
0.66,Ploiesti,middle,1.0,1.0,0.7798201353996
0.66,Pavlodar,middle,1.0,1.0,0.957879092620272
0.66,Vadodara,middle,1.0,1.0,0.8601398328134577
0.66,Rondonopolis,middle,1.0,1.0,0.9667233606074401
0.66,Patagonia,quiet,0.2799224054316198,0.5968873997002028,0.12341138705765066
0.66,NZ_South,quiet,0.18084900174452415,0.4918095473047983,0.08650434565184736
0.66,Appalachia,quiet,1.0,1.0,0.7313682763095095
0.66,Amazon_wet,quiet,0.04437524328532503,0.3470646519692841,0.1669846968537103
0.75,Norilsk,heavy,1.0,1.0,0.9290038690609094
0.75,Korba,heavy,1.0,1.0,0.7928343087354055
0.75,Jamshedpur,heavy,1.0,1.0,0.921724302286496
0.75,Yanbu,heavy,1.0,1.0,0.7815731805096549
0.75,Ploiesti,middle,1.0,1.0,0.7798201353996
0.75,Pavlodar,middle,1.0,1.0,0.957879092620272
0.75,Vadodara,middle,1.0,1.0,0.8601398328134577
0.75,Rondonopolis,middle,1.0,1.0,0.9667233606074401
0.75,Patagonia,quiet,0.2799224054316198,0.5612609117361784,0.11604531717941019
0.75,NZ_South,quiet,0.18084900174452415,0.4687924016282225,0.08245586156601187
0.75,Appalachia,quiet,1.0,1.0,0.7313682763095095
0.75,Amazon_wet,quiet,0.04437524328532503,0.34141689373297,0.16426736683567833
0.9,Norilsk,heavy,1.0,1.0,0.9290038690609094
0.9,Korba,heavy,1.0,1.0,0.7928343087354055
0.9,Jamshedpur,heavy,1.0,1.0,0.921724302286496
0.9,Yanbu,heavy,1.0,1.0,0.7815731805096549
0.9,Ploiesti,middle,1.0,1.0,0.7798201353996
0.9,Pavlodar,middle,1.0,1.0,0.957879092620272
0.9,Vadodara,middle,1.0,1.0,0.8601398328134577
0.9,Rondonopolis,middle,1.0,1.0,0.9667233606074401
0.9,Patagonia,quiet,0.2799224054316198,0.5177174264468154,0.10704234288378296
0.9,NZ_South,quiet,0.18084900174452415,0.4406603346901854,0.0775077143499907
0.9,Appalachia,quiet,1.0,1.0,0.7313682763095095
0.9,Amazon_wet,quiet,0.04437524328532503,0.33451407811080835,0.16094618570252817
