name,tier,lat,lon,note,site,contrast,persistence,score,confidence,persistence_factor,n_valid,n_lit,error
Norilsk,heavy,69.35,88.2,Nornickel smelter complex; among brightest industrial NTL on Earth (also demo seed),11.922817190400819,0.9290038690609094,1.0,0.9290038690609094,0.955,1.0,,,
Korba,heavy,22.35,82.68,"Korba coal-power + aluminium cluster, Chhattisgarh IN",10.542282403709482,0.7928343087354055,1.0,0.7928343087354055,0.955,1.0,,,
Jamshedpur,heavy,22.8,86.2,"Tata steel works, Jharkhand IN",19.809576743580692,0.921724302286496,1.0,0.921724302286496,0.955,1.0,,,
Yanbu,heavy,24.09,38.06,"Yanbu petrochemical/refining city, Saudi Red Sea coast",39.593022551004545,0.7815731805096549,1.0,0.7815731805096549,0.955,1.0,,,
Ploiesti,middle,44.94,26.03,"Mid-size oil-refining city, Romania",11.227332688680415,0.7798201353996,1.0,0.7798201353996,0.955,1.0,,,
Pavlodar,middle,52.29,76.95,"Refinery + aluminium smelter, secondary city KZ",13.751241653559338,0.957879092620272,1.0,0.957879092620272,0.955,1.0,,,
Vadodara,middle,22.31,73.18,Gujarat petrochem/industrial secondary city IN,22.968864829253793,0.8601398328134577,1.0,0.8601398328134577,0.955,1.0,,,
Rondonopolis,middle,-16.47,-54.64,"Soy-crushing agro-industrial hub, Mato Grosso BR",16.505339228966484,0.9667233606074401,1.0,0.9667233606074401,0.955,1.0,,,
Patagonia,quiet,-51.0,-72.9,Patagonian steppe wilderness (also demo seed),0.09649239062913871,0.20675823801882265,0.2799224054316198,0.12954977862285105,0.7749806013579049,0.6265761396702231,,,
NZ_South,quiet,-45.5,170.0,NZ South Island rural,0.1513441303039233,0.1758899275662829,0.18084900174452415,0.08987808239004362,0.750212250436131,0.5109905020352782,,,
Appalachia,quiet,35.5,-82.5,W. North Carolina forest,8.15649427027081,0.7313682763095095,1.0,0.7313682763095095,0.955,1.0,,,
Amazon_wet,quiet,-4.0,-63.0,Central Amazon interior,0.1455528921244858,0.4811342667892574,0.04437524328532503,0.16924913853540363,0.7160938108213312,0.3517711171662125,,,
