id,tier,rad_max,rad_p99,rad_p95,rad_mean,frac>10,frac>30,frac>60,frac>100,frac>200
norilsk_diag,High,327.8,204.8,68.7,13.7,0.1956,0.1014,0.0568,0.0342,0.0105
korba,High,140.6,63.2,35.3,12.0,0.3956,0.0808,0.0102,0.0032,0.0
jamshedpur,High,313.7,181.2,74.8,25.3,0.5745,0.3111,0.088,0.0236,0.0077
yanbu,High,335.1,243.6,172.7,43.9,0.5895,0.4007,0.2495,0.1529,0.0297
ploiesti,Mid,132.9,77.3,56.5,12.3,0.2856,0.1268,0.0382,0.0029,0.0
pavlodar,Mid,135.9,97.5,61.6,13.2,0.3075,0.1597,0.0527,0.0084,0.0
vadodara,Mid,714.6,179.1,65.4,36.2,0.8961,0.5546,0.063,0.0239,0.0077
rondonopolis,Mid,131.1,105.2,78.4,22.0,0.4333,0.2827,0.1261,0.0153,0.0
patagonia_diag,Low,0.5,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0
nz_south,Low,2.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0
appalachia,Low,84.3,61.5,35.2,8.8,0.2668,0.0697,0.0102,0.0,0.0
amazon_wet,Low,2.7,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0
sapezal_seed,Low,113.0,56.9,19.2,3.2,0.0707,0.0357,0.0081,0.0013,0.0
distrito_federal_seed,Mid,269.1,183.8,105.4,27.9,0.5802,0.2956,0.1225,0.0572,0.0065
norilsk_seed,High,327.8,204.8,68.7,13.9,0.1991,0.104,0.0573,0.0342,0.0105
patagonia_seed,Mid,180.3,144.6,108.6,21.6,0.362,0.238,0.1335,0.0638,0.0
suape_seed,Mid,176.8,117.3,56.2,12.6,0.3063,0.122,0.0459,0.013,0.0
